23-03-2026 10:46:03 | INFO     | docling.document_converter | Finished converting document tmpot6fhnjc.docx in 1.58 sec.
23-03-2026 10:46:04 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:46:33 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:46:33 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:46:33 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:46:33 | INFO     | docling.pipeline.base_pipeline | Processing document tmpot6fhnjc.docx
23-03-2026 10:46:33 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 10:46:35 | INFO     | docling.document_converter | Finished converting document tmpot6fhnjc.docx in 1.73 sec.
23-03-2026 10:46:35 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:47:39 | INFO     | main | Shutting down process pool…
23-03-2026 10:47:39 | INFO     | backend.worker | Process pool shut down
23-03-2026 10:47:39 | INFO     | main | Shutdown complete
23-03-2026 10:49:03 | INFO     | main | Starting on port 8000
23-03-2026 10:49:03 | INFO     | utils.db | SQLite DB ready → C:\sow_agent_v3\data/procurement.db
23-03-2026 10:49:03 | INFO     | main | SQLite DB ready
23-03-2026 10:49:03 | INFO     | backend.worker | Process pool ready — 20 workers
23-03-2026 10:49:03 | INFO     | main | 🚀 Procurement Agent started — 20 concurrent users supported
23-03-2026 10:49:08 | INFO     | backend.session | Session created: 934ef709 (active=1)
23-03-2026 10:49:37 | INFO     | utils.db | Upload saved: SOW 'STATEMENT OF WORK_ADCEnhancements-2026-UID0038619-R.docx' (Word) → id=9
23-03-2026 10:49:37 | INFO     | utils.db | Upload saved: PO 'PO2548625             (1).docx' (Word) → id=10
23-03-2026 10:49:37 | INFO     | backend.routes.pages | [Session 934ef709] Job 8b324cf4 queued (running=0)
23-03-2026 10:49:37 | INFO     | backend.worker | [Job 8b324cf4] Started | session=934ef709
23-03-2026 10:49:59 | WARNING  | tensorflow | From C:\Users\Creat\AppData\Local\Programs\Python\Python311\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

23-03-2026 10:50:00 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:50:00 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:50:00 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:50:00 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
23-03-2026 10:50:00 | INFO     | docling.models.factories | Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
23-03-2026 10:50:00 | INFO     | docling.pipeline.base_pipeline | Processing document tmpdu9oiods.docx
23-03-2026 10:50:00 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 10:50:01 | INFO     | docling.document_converter | Finished converting document tmpdu9oiods.docx in 0.31 sec.
23-03-2026 10:50:01 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:50:27 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:50:28 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:50:28 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:50:28 | INFO     | docling.pipeline.base_pipeline | Processing document tmpdu9oiods.docx
23-03-2026 10:50:28 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 10:50:29 | INFO     | docling.document_converter | Finished converting document tmpdu9oiods.docx in 1.97 sec.
23-03-2026 10:50:30 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:51:58 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:51:58 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:51:58 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:51:58 | INFO     | docling.pipeline.base_pipeline | Processing document tmpmqbntlu3.docx
23-03-2026 10:52:00 | WARNING  | docling.backend.msword_backend | Warning: image cannot be loaded by Pillow
23-03-2026 10:52:00 | INFO     | docling.document_converter | Finished converting document tmpmqbntlu3.docx in 1.78 sec.
23-03-2026 10:52:00 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:52:25 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:53:20 | INFO     | backend.cache | Cache SET  → e465530617c0… (entries=1)
23-03-2026 10:53:20 | INFO     | utils.db | Run saved → agent_runs.id=2
23-03-2026 10:53:20 | INFO     | backend.worker | [Job 8b324cf4] ✅ Complete
23-03-2026 10:56:00 | INFO     | main | Shutting down process pool…
23-03-2026 10:56:00 | INFO     | backend.worker | Process pool shut down
23-03-2026 10:56:00 | INFO     | main | Shutdown complete
23-03-2026 10:58:05 | INFO     | main | Starting on port 8000
23-03-2026 10:58:05 | INFO     | utils.db | SQLite DB ready → C:\sow_agent_v3\data/procurement.db
23-03-2026 10:58:05 | INFO     | main | SQLite DB ready
23-03-2026 10:58:05 | INFO     | backend.worker | Process pool ready — 20 workers
23-03-2026 10:58:05 | INFO     | main | 🚀 Procurement Agent started — 20 concurrent users supported
23-03-2026 10:58:13 | INFO     | backend.session | Session created: 7c0df339 (active=1)
23-03-2026 10:58:36 | INFO     | utils.db | Upload saved: SOW 'STATEMENT OF WORK_ADCEnhancements-2026-UID0038619-R.docx' (Word) → id=11
23-03-2026 10:58:36 | INFO     | utils.db | Upload saved: PO 'PO2548625             (1).docx' (Word) → id=12
23-03-2026 10:58:36 | INFO     | backend.routes.pages | [Session 7c0df339] Job e73018c8 queued (running=0)
23-03-2026 10:58:36 | INFO     | backend.worker | [Job e73018c8] Started | session=7c0df339
23-03-2026 10:58:51 | INFO     | agent.graph | =======================================================
23-03-2026 10:58:51 | INFO     | agent.graph | 🤖 Procurement Agent — START (parallel mode)
23-03-2026 10:58:51 | INFO     | agent.graph | =======================================================
23-03-2026 10:58:52 | INFO     | agent.graph | ⚡ [Parallel] Starting metadata + schedules + PO simultaneously
23-03-2026 10:58:52 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpebq1_rdu.docx
23-03-2026 10:58:52 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpebq1_rdu.docx
23-03-2026 10:58:52 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpkdh_fq70.docx
23-03-2026 10:59:18 | WARNING  | tensorflow | From C:\Users\Creat\AppData\Local\Programs\Python\Python311\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

23-03-2026 10:59:20 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:59:20 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:59:20 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 10:59:20 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:59:20 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:59:20 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:59:20 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 10:59:20 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
23-03-2026 10:59:20 | INFO     | docling.models.factories | Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
23-03-2026 10:59:20 | INFO     | docling.pipeline.base_pipeline | Processing document tmpebq1_rdu.docx
23-03-2026 10:59:20 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:59:20 | INFO     | docling.pipeline.base_pipeline | Processing document tmpebq1_rdu.docx
23-03-2026 10:59:20 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 10:59:20 | INFO     | docling.pipeline.base_pipeline | Processing document tmpkdh_fq70.docx
23-03-2026 10:59:21 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 10:59:21 | WARNING  | docling.backend.msword_backend | Found DrawingML elements in document, but no DOCX to PDF converters. If you want these exported, make sure you have LibreOffice binary in PATH or specify its path with DOCLING_LIBREOFFICE_CMD.
23-03-2026 10:59:22 | INFO     | docling.document_converter | Finished converting document tmpebq1_rdu.docx in 1.81 sec.
23-03-2026 10:59:22 | INFO     | utils.doc_cache | DocCache SET  → 31123 chars cached
23-03-2026 10:59:22 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:59:22 | INFO     | docling.document_converter | Finished converting document tmpebq1_rdu.docx in 2.11 sec.
23-03-2026 10:59:22 | INFO     | utils.doc_cache | DocCache SET  → 31123 chars cached
23-03-2026 10:59:22 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 10:59:22 | WARNING  | docling.backend.msword_backend | Warning: image cannot be loaded by Pillow
23-03-2026 10:59:22 | INFO     | docling.document_converter | Finished converting document tmpkdh_fq70.docx in 2.19 sec.
23-03-2026 10:59:22 | INFO     | utils.doc_cache | DocCache SET  → 140682 chars cached
23-03-2026 10:59:22 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:00:43 | INFO     | agent.graph | ✅ [Parallel] Metadata done
23-03-2026 11:00:43 | INFO     | agent.graph | ✅ [Parallel] PO done
23-03-2026 11:00:43 | INFO     | agent.graph | ✅ [Parallel] Schedules done
23-03-2026 11:00:43 | INFO     | agent.graph | ⚡ [Parallel] All 3 extractions done in 111.3s
23-03-2026 11:00:43 | INFO     | utils.gpu_client | GPU call → https://capturable-undiminishably-kourtney.ngrok-free.dev/generate
23-03-2026 11:01:24 | INFO     | agent.graph | =======================================================
23-03-2026 11:01:24 | INFO     | agent.graph | 🤖 Procurement Agent — DONE in 153.5s
23-03-2026 11:01:24 | INFO     | agent.graph | =======================================================
23-03-2026 11:01:24 | INFO     | backend.cache | Cache SET  → e465530617c0… (entries=1)
23-03-2026 11:01:24 | INFO     | utils.db | Run saved → agent_runs.id=3
23-03-2026 11:01:24 | INFO     | backend.worker | [Job e73018c8] ✅ Complete
23-03-2026 11:07:43 | INFO     | main | Shutting down process pool…
23-03-2026 11:07:43 | INFO     | backend.worker | Process pool shut down
23-03-2026 11:07:43 | INFO     | main | Shutdown complete
23-03-2026 11:07:53 | INFO     | main | Starting on port 8000
23-03-2026 11:07:53 | INFO     | utils.db | SQLite DB ready → C:\sow_agent_v3\data/procurement.db
23-03-2026 11:07:53 | INFO     | main | SQLite DB ready
23-03-2026 11:07:53 | INFO     | backend.worker | Process pool ready — 20 workers
23-03-2026 11:07:53 | INFO     | main | 🚀 Procurement Agent started — 20 concurrent users supported
23-03-2026 11:07:58 | INFO     | backend.session | Session created: 2df17817 (active=1)
23-03-2026 11:08:23 | INFO     | utils.db | Upload saved: SOW 'STATEMENT OF WORK_ADCEnhancements-2026-UID0038619-R (2).docx' (Word) → id=13
23-03-2026 11:08:23 | INFO     | utils.db | Upload saved: PO 'PO2548625             (1).docx' (Word) → id=14
23-03-2026 11:08:23 | INFO     | backend.routes.pages | [Session 2df17817] Job 5afa52c1 queued (running=0)
23-03-2026 11:08:24 | INFO     | backend.worker | [Job 5afa52c1] Started | session=2df17817
23-03-2026 11:08:37 | INFO     | agent.graph | =======================================================
23-03-2026 11:08:37 | INFO     | agent.graph | 🤖 Procurement Agent — START (parallel mode)
23-03-2026 11:08:37 | INFO     | agent.graph | =======================================================
23-03-2026 11:08:39 | INFO     | agent.graph | ⚡ [Parallel] Starting metadata + schedules + PO simultaneously
23-03-2026 11:08:39 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpkz8v6hss.docx
23-03-2026 11:08:39 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpkz8v6hss.docx
23-03-2026 11:08:39 | INFO     | utils.doc_cache | DocCache MISS → parsing reat\AppData\Local\Temp\tmpe8yxapjv.docx
23-03-2026 11:08:59 | WARNING  | tensorflow | From C:\Users\Creat\AppData\Local\Programs\Python\Python311\Lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

23-03-2026 11:09:01 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 11:09:01 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 11:09:01 | INFO     | docling.datamodel.document | detected formats: [<InputFormat.DOCX: 'docx'>]
23-03-2026 11:09:01 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 11:09:01 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 11:09:01 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 11:09:01 | INFO     | docling.document_converter | Going to convert document batch...
23-03-2026 11:09:01 | INFO     | docling.models.factories.base_factory | Loading plugin 'docling_defaults'
23-03-2026 11:09:01 | INFO     | docling.models.factories | Registered picture descriptions: ['picture_description_vlm_engine', 'vlm', 'api']
23-03-2026 11:09:01 | INFO     | docling.pipeline.base_pipeline | Processing document tmpkz8v6hss.docx
23-03-2026 11:09:01 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 11:09:01 | INFO     | docling.pipeline.base_pipeline | Processing document tmpkz8v6hss.docx
23-03-2026 11:09:01 | INFO     | docling.document_converter | Initializing pipeline for SimplePipeline with options hash 2d9476a27fcaef36a7b7dc80210d99aa
23-03-2026 11:09:01 | INFO     | docling.pipeline.base_pipeline | Processing document tmpe8yxapjv.docx
